run,variant,program,program_bytes,outcome,metric,us,count
0,tpu_next,jupiter-v6,2892224,success,wall,20400875,0
0,tpu_next,jupiter-v6,2892224,success,client_setup,9374,0
0,tpu_next,jupiter-v6,2892224,success,write_chunks,19351752,1866
0,tpu_next,jupiter-v6,2892224,success,final_tx,519345,0
0,tpu_next,jupiter-v6,2892224,success,total_deploy,20385300,2892224
0,baseline,jupiter-v6,2892224,success,wall,20785287,0
0,baseline,jupiter-v6,2892224,success,client_setup,10889,0
0,baseline,jupiter-v6,2892224,success,write_chunks,19700855,1866
0,baseline,jupiter-v6,2892224,success,final_tx,510998,0
0,baseline,jupiter-v6,2892224,success,total_deploy,20726862,2892224
0,tpu_next,token-2022,1382016,success,wall,7423003,0
0,tpu_next,token-2022,1382016,success,client_setup,459,0
0,tpu_next,token-2022,1382016,success,write_chunks,6400124,501
0,tpu_next,token-2022,1382016,success,final_tx,504986,0
0,tpu_next,token-2022,1382016,success,total_deploy,7410181,1382016
0,baseline,token-2022,1382016,success,wall,7442865,0
0,baseline,token-2022,1382016,success,client_setup,622,0
0,baseline,token-2022,1382016,success,write_chunks,6419800,501
0,baseline,token-2022,1382016,success,final_tx,505045,0
0,baseline,token-2022,1382016,success,total_deploy,7430078,1382016
0,baseline,token,108600,success,wall,3207027,0
0,baseline,token,108600,success,client_setup,659,0
0,baseline,token,108600,success,write_chunks,2189997,108
0,baseline,token,108600,success,final_tx,502308,0
0,baseline,token,108600,success,total_deploy,3195702,108600
0,tpu_next,token,108600,success,wall,3172415,0
0,tpu_next,token,108600,success,client_setup,613,0
0,tpu_next,token,108600,success,write_chunks,2155739,108
0,tpu_next,token,108600,success,final_tx,502849,0
0,tpu_next,token,108600,success,total_deploy,3161888,108600
1,tpu_next,jupiter-v6,2892224,success,wall,20629530,0
1,tpu_next,jupiter-v6,2892224,success,client_setup,596,0
1,tpu_next,jupiter-v6,2892224,success,write_chunks,19599931,1866
1,tpu_next,jupiter-v6,2892224,success,final_tx,509788,0
1,tpu_next,jupiter-v6,2892224,success,total_deploy,20614946,2892224
1,baseline,jupiter-v6,2892224,success,wall,20670877,0
1,baseline,jupiter-v6,2892224,success,client_setup,487,0
1,baseline,jupiter-v6,2892224,success,write_chunks,19640008,1866
1,baseline,jupiter-v6,2892224,success,final_tx,511562,0
1,baseline,jupiter-v6,2892224,success,total_deploy,20656173,2892224
1,tpu_next,token-2022,1382016,success,wall,7411399,0
1,tpu_next,token-2022,1382016,success,client_setup,584,0
1,tpu_next,token-2022,1382016,success,write_chunks,6389116,501
1,tpu_next,token-2022,1382016,success,final_tx,504516,0
1,tpu_next,token-2022,1382016,success,total_deploy,7399085,1382016
1,baseline,token-2022,1382016,success,wall,7440860,0
1,baseline,token-2022,1382016,success,client_setup,554,0
1,baseline,token-2022,1382016,success,write_chunks,6418026,501
1,baseline,token-2022,1382016,success,final_tx,505698,0
1,baseline,token-2022,1382016,success,total_deploy,7428463,1382016
1,tpu_next,token,108600,success,wall,3173262,0
1,tpu_next,token,108600,success,client_setup,394,0
1,tpu_next,token,108600,success,write_chunks,2156013,108
1,tpu_next,token,108600,success,final_tx,502561,0
1,tpu_next,token,108600,success,total_deploy,3160820,108600
1,baseline,token,108600,success,wall,3235175,0
1,baseline,token,108600,success,client_setup,468,0
1,baseline,token,108600,success,write_chunks,2218542,108
1,baseline,token,108600,success,final_tx,502499,0
1,baseline,token,108600,success,total_deploy,3223700,108600
2,tpu_next,jupiter-v6,2892224,success,wall,20620870,0
2,tpu_next,jupiter-v6,2892224,success,client_setup,515,0
2,tpu_next,jupiter-v6,2892224,success,write_chunks,19591064,1866
2,tpu_next,jupiter-v6,2892224,success,final_tx,510658,0
2,tpu_next,jupiter-v6,2892224,success,total_deploy,20605725,2892224
2,baseline,jupiter-v6,2892224,success,wall,20652420,0
2,baseline,jupiter-v6,2892224,success,client_setup,473,0
2,baseline,jupiter-v6,2892224,success,write_chunks,19620837,1866
2,baseline,jupiter-v6,2892224,success,final_tx,511522,0
2,baseline,jupiter-v6,2892224,success,total_deploy,20637035,2892224
2,tpu_next,token-2022,1382016,success,wall,7422328,0
2,tpu_next,token-2022,1382016,success,client_setup,384,0
2,tpu_next,token-2022,1382016,success,write_chunks,6399921,501
2,tpu_next,token-2022,1382016,success,final_tx,506404,0
2,tpu_next,token-2022,1382016,success,total_deploy,7409911,1382016
2,baseline,token-2022,1382016,success,wall,7441826,0
2,baseline,token-2022,1382016,success,client_setup,465,0
2,baseline,token-2022,1382016,success,write_chunks,6419107,501
2,baseline,token-2022,1382016,success,final_tx,504480,0
2,baseline,token-2022,1382016,success,total_deploy,7428511,1382016
2,tpu_next,token,108600,success,wall,3264478,0
2,tpu_next,token,108600,success,client_setup,548,0
2,tpu_next,token,108600,success,write_chunks,2247351,108
2,tpu_next,token,108600,success,final_tx,502910,0
2,tpu_next,token,108600,success,total_deploy,3253421,108600
2,baseline,token,108600,success,wall,3235215,0
2,baseline,token,108600,success,client_setup,781,0
2,baseline,token,108600,success,write_chunks,2217816,108
2,baseline,token,108600,success,final_tx,502244,0
2,baseline,token,108600,success,total_deploy,3223846,108600
3,baseline,jupiter-v6,2892224,success,wall,20679919,0
3,baseline,jupiter-v6,2892224,success,client_setup,627,0
3,baseline,jupiter-v6,2892224,success,write_chunks,19650529,1866
3,baseline,jupiter-v6,2892224,success,final_tx,510024,0
3,baseline,jupiter-v6,2892224,success,total_deploy,20664868,2892224
3,tpu_next,jupiter-v6,2892224,success,wall,20610926,0
3,tpu_next,jupiter-v6,2892224,success,client_setup,386,0
3,tpu_next,jupiter-v6,2892224,success,write_chunks,19580873,1866
3,tpu_next,jupiter-v6,2892224,success,final_tx,510236,0
3,tpu_next,jupiter-v6,2892224,success,total_deploy,20597013,2892224
3,baseline,token-2022,1382016,success,wall,7426982,0
3,baseline,token-2022,1382016,success,client_setup,639,0
3,baseline,token-2022,1382016,success,write_chunks,6406818,501
3,baseline,token-2022,1382016,success,final_tx,504838,0
3,baseline,token-2022,1382016,success,total_deploy,7414355,1382016
3,tpu_next,token-2022,1382016,success,wall,7412014,0
3,tpu_next,token-2022,1382016,success,client_setup,394,0
3,tpu_next,token-2022,1382016,success,write_chunks,6391401,501
3,tpu_next,token-2022,1382016,success,final_tx,505378,0
3,tpu_next,token-2022,1382016,success,total_deploy,7400109,1382016
3,tpu_next,token,108600,success,wall,3204208,0
3,tpu_next,token,108600,success,client_setup,550,0
3,tpu_next,token,108600,success,write_chunks,2185964,108
3,tpu_next,token,108600,success,final_tx,504157,0
3,tpu_next,token,108600,success,total_deploy,3192965,108600
3,baseline,token,108600,success,wall,3205181,0
3,baseline,token,108600,success,client_setup,710,0
3,baseline,token,108600,success,write_chunks,2188051,108
3,baseline,token,108600,success,final_tx,502273,0
3,baseline,token,108600,success,total_deploy,3193433,108600
4,baseline,jupiter-v6,2892224,success,wall,20649131,0
4,baseline,jupiter-v6,2892224,success,client_setup,528,0
4,baseline,jupiter-v6,2892224,success,write_chunks,19619651,1866
4,baseline,jupiter-v6,2892224,success,final_tx,509936,0
4,baseline,jupiter-v6,2892224,success,total_deploy,20634017,2892224
4,tpu_next,jupiter-v6,2892224,success,wall,21102201,0
4,tpu_next,jupiter-v6,2892224,success,client_setup,340,0
4,tpu_next,jupiter-v6,2892224,success,write_chunks,20071177,1866
4,tpu_next,jupiter-v6,2892224,success,final_tx,511199,0
4,tpu_next,jupiter-v6,2892224,success,total_deploy,21088398,2892224
4,baseline,token-2022,1382016,success,wall,7422951,0
4,baseline,token-2022,1382016,success,client_setup,565,0
4,baseline,token-2022,1382016,success,write_chunks,6397856,501
4,baseline,token-2022,1382016,success,final_tx,506112,0
4,baseline,token-2022,1382016,success,total_deploy,7407520,1382016
4,tpu_next,token-2022,1382016,success,wall,7414091,0
4,tpu_next,token-2022,1382016,success,client_setup,301,0
4,tpu_next,token-2022,1382016,success,write_chunks,6390217,501
4,tpu_next,token-2022,1382016,success,final_tx,505564,0
4,tpu_next,token-2022,1382016,success,total_deploy,7401509,1382016
4,tpu_next,token,108600,success,wall,3238554,0
4,tpu_next,token,108600,success,client_setup,432,0
4,tpu_next,token,108600,success,write_chunks,2216483,108
4,tpu_next,token,108600,success,final_tx,503761,0
4,tpu_next,token,108600,success,total_deploy,3225324,108600
4,baseline,token,108600,success,wall,3296236,0
4,baseline,token,108600,success,client_setup,513,0
4,baseline,token,108600,success,write_chunks,2278941,108
4,baseline,token,108600,success,final_tx,502771,0
4,baseline,token,108600,success,total_deploy,3284657,108600
